fips,pm25,poverty,pop_density,med_house_value,pct_blk,med_household_income,pct_owner_occ,pct_hispanic,education,population,pct_asian,pct_native,pct_white,confirmed_covid_cases,covid_deaths,covid_recoveries,days_since_state_of_emergency,days_since_closing_K-12,days_since_closing_day_cares,days_since_banning_visitors_to_nursing_homes,days_since_shelter_in_place,days_since_closing_non-essential_businesses,religious_gatherings_exempt,liquor_stores_open,firearms_sellers_open,days_since_closing_restaurants_except_takeout,days_since_closing_gyms,days_since_closing_movie_theaters,froze_evictions,order_freezing_utility_shutoffs
42079,7.42426604929942,0.148706002280546,357.034495751325,125400.0,0.0461394722603214,51646.0,0.6856326237368608,0.11033899158183501,0.176034581997157,317884.0,0.0123504171332939,0.00207937486630343,0.886669351084043,2280,104,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42081,7.3441307163544405,0.141773666528602,93.47615929324591,152400.0,0.0480415117666008,52407.0,0.693988713859294,0.019833012650293,0.170164013506995,114859.0,0.0070608311059647,0.0015671388397948802,0.918813501771737,86,4,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42083,4.548430611631701,0.167810436358928,42.694848907241,79800.0,0.0248768119408697,46953.0,0.737142524317083,0.0208821700234416,0.15535548709358998,41806.0,0.00444912213557863,0.000669760321484954,0.9448404535234181,6,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42085,6.91738254238863,0.14200952752236903,167.459078378263,119600.0,0.0566989256858741,48768.0,0.7293821152342049,0.0143922578353902,0.165387724368557,112630.0,0.006889816212376811,0.0010920713841782801,0.9122969013584301,67,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42087,7.66759414668915,0.144439073691611,112.79050145326201,109900.0,0.00791596566153315,47526.0,0.7037289200796061,0.0150122945515724,0.225684292595996,46362.0,0.0018981062076700698,0.00157456537681722,0.9688322332945078,42,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42089,6.1302279770108,0.115030749116266,275.518393334439,167000.0,0.14408721492248802,63931.0,0.77713581116787,0.154129819913358,0.177527485257737,167586.0,0.0241129927320898,0.00343704128029788,0.767379136682062,1186,60,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42091,9.17418831156172,0.0623376428555356,1700.5642641617599,305800.0,0.0907937528384843,88166.0,0.7180593026255859,0.0501180444197682,0.14166987075212198,821301.0,0.0747655244544935,0.00127115393747238,0.7941607279182661,4687,443,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42093,9.39872226306977,0.11116160181766499,140.461172566503,181500.0,0.0176560620968624,57183.0,0.687516706762898,0.00934732699245654,0.17162800246356,18294.0,0.0473379250027331,0.00032797638570023,0.9244014430960971,50,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42095,9.1091089827016,0.0911614865539821,816.3981704879809,214200.0,0.0551696942785756,67565.0,0.717059663696187,0.128296297278132,0.164165898158072,301778.0,0.027487093161198,0.00281664004665681,0.861235742830823,2279,117,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42097,8.62505359498606,0.139425860131446,201.582164778901,115200.0,0.0267424857839155,47063.0,0.708959419401002,0.0325588952071487,0.198023944821629,92325.0,0.00341186027619821,0.00274031952342269,0.947890603845112,107,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42099,7.486307679790599,0.0849429372420035,83.2788894507543,166200.0,0.009341520773451791,62266.0,0.7981869437842021,0.0185959411201115,0.202730508286064,45924.0,0.00396306941904015,0.0019162093894260102,0.9704511802107829,34,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42101,10.027029595298501,0.24858614358711303,11737.234636497,156800.0,0.422746873734546,43744.0,0.529772452915205,0.14453051115757198,0.23108224086947002,1575522.0,0.0715007470539923,0.0037086121298211,0.41185714956693703,16410,743,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42103,5.201027979230861,0.0995726884262206,101.838567378351,187000.0,0.061948178312732,64247.0,0.830917653513785,0.10650834264297802,0.14480499358094598,55498.0,0.0152077552344229,0.00127932538109481,0.8906447079174019,412,17,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42105,4.2049309743168,0.14335370969675199,15.663224997151302,105500.0,0.00401487866800496,42821.0,0.7709642802391541,0.0128712286709571,0.182266377829237,16937.0,0.00342445533447482,0.00230265100076755,0.973017653657673,4,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42107,7.04296715774858,0.126971307744266,184.368377281097,97400.0,0.0301069276583888,49190.0,0.7538351522993891,0.0408902511232629,0.187954715146464,143555.0,0.00512695482567657,0.00211068928285326,0.9361290097871899,405,7,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42109,8.50849023882378,0.106085634127796,123.07806345756501,161400.0,0.0102555231552414,57638.0,0.721731448763251,0.0223397420056344,0.21453850731310103,40466.0,0.00679582859684674,0.00029654524786240297,0.9648593881283051,33,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42111,5.451973661436759,0.12440705656429599,69.76121376554461,104300.0,0.025897610375055,48224.0,0.782449171940218,0.0147300164111596,0.18436211298029698,74949.0,0.00396269463235,0.000800544370171717,0.9521674738822401,30,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42113,5.1196072555187495,0.133879324753468,13.7285062361301,151800.0,0.0310830500242836,47346.0,0.821389195148842,0.0216933786627813,0.168835930339138,6177.0,0.0042091630241217395,0.0025902541686903,0.9404241541201229,1,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42115,5.30049674183938,0.12263273794959599,50.2006145421331,162500.0,0.00725689404934688,53059.0,0.7657808266559059,0.0168843734881471,0.17255791736326698,41340.0,0.00333817126269956,0.000846637639090469,0.9750120948234159,86,11,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42117,5.10416402471341,0.14238149262566,36.3617737789541,138700.0,0.0066220346383350295,50667.0,0.735752256150328,0.0126133993111143,0.165303525990549,41226.0,0.0056517731528647,0.00109154417115413,0.9708921554358899,16,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42119,8.371116214140201,0.11292252051745698,142.78549312858,180200.0,0.0638826085029038,56026.0,0.7200624194314399,0.0585849182072084,0.182237943511368,45114.0,0.016535886864388002,0.007159640023052709,0.868643879948575,38,1,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42121,6.030476172175269,0.13839965634396803,77.67645993308129,85700.0,0.008286237971590041,47982.0,0.7555099247091029,0.0108255689628838,0.17338450170428799,52376.0,0.0036467084160684295,0.00022911257064304303,0.9678287765388729,7,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42123,5.50045542721541,0.127062369106605,45.281363543657704,95400.0,0.00477082552766329,48409.0,0.766276346604216,0.0104908205320345,0.14349566998789498,40035.0,0.005270388410141129,0.00127388535031847,0.9768952166854,1,0,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42125,8.919223383565779,0.0927263838339942,242.181700369268,162600.0,0.0311013890829547,61567.0,0.756349583828775,0.0164637407430606,0.14515084267978198,207547.0,0.009747189793155291,0.00092509166598409,0.935826583858114,120,2,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42127,4.9150535413745,0.116133620599494,71.02712623240942,181000.0,0.0323657249301459,54851.0,0.8046320508031378,0.0430766842595467,0.160249812874251,51536.0,0.006073424402359521,0.00225085377212046,0.939498602918348,109,5,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42129,9.7148683082249,0.099993096385958,345.075032861588,148900.0,0.0240450344044132,58866.0,0.7746348860976491,0.0114305526975259,0.13027593467329698,354751.0,0.00914162327942698,0.000902041149989711,0.947909942466688,405,27,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42131,6.084554077469031,0.10462513987318199,69.4377797573625,164000.0,0.0092431491953023,59308.0,0.778560830860534,0.0184138031027983,0.144957033016735,27588.0,0.00228360156589822,0.000833695809772365,0.972415542989706,27,2,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
42133,8.7510269335146,0.09982649276055999,491.05399586531195,173200.0,0.0580837541158612,63902.0,0.747004274602322,0.0721328606755643,0.18530611535386105,444014.0,0.0151571797285671,0.00148643961676884,0.8879044354457291,716,11,0,65,55,54,54,39,52,1,1,1,52,52,52,51,58
44001,5.4701770283509195,0.0759695413493891,2025.9631359733899,345200.0,0.0142126789366053,75578.0,0.696414872398098,0.0290593047034765,0.158733773627875,48900.0,0.0203680981595092,0.000879345603271984,0.946728016359918,154,0,0,62,55,55,58,43,41,0,1,1,54,48,48,52,55
44003,5.45722585261692,0.0796361462563862,972.1341413742,224600.0,0.0168069278229719,70223.0,0.698749146484971,0.0465272395505947,0.16070283925945497,163861.0,0.0256375830734586,0.00269740816911895,0.9206766710809771,703,0,0,62,55,55,58,43,41,0,1,1,54,48,48,52,55
44005,4.883353774395769,0.0856001210073865,810.982348314125,375000.0,0.0371230815528137,77237.0,0.620410597154783,0.05649112247968701,0.128788983866733,83075.0,0.0196448991874812,0.0042612097502257,0.8962022269034009,161,0,0,62,55,55,58,43,41,0,1,1,54,48,48,52,55
44007,5.781046140447941,0.161950676620639,1549.58426496508,223600.0,0.0960422862167925,55233.0,0.534884599720369,0.222535313372197,0.21804152224349105,634533.0,0.0416164328726796,0.00579481287813242,0.7336292990277891,7138,0,0,62,55,55,58,43,41,0,1,1,54,48,48,52,55
44009,5.10080377275524,0.0937010628727551,383.38973540277397,328300.0,0.0140919820661903,81301.0,0.745413451161654,0.0310039448044233,0.11820269882285402,126242.0,0.0192249805928296,0.0076678126138686,0.9298014923717941,363,0,0,62,55,55,58,43,41,0,1,1,54,48,48,52,55
45001,8.23075879950613,0.225251555258653,50.1742962666911,89000.0,0.27420205215557397,36685.0,0.7625594923320991,0.0140730826945695,0.25434771456420296,24657.0,0.00324451474226386,0.0,0.6983817982722961,33,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45003,8.50618771784538,0.160918980156168,155.916865878261,142200.0,0.247349124761871,50036.0,0.716564233248389,0.0561027041922768,0.19982959909733605,166926.0,0.009794759354444479,0.0035644537100272,0.706247079544229,108,6,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45005,8.04957007261153,0.268223375339758,22.578317757904898,52100.0,0.7568916865639241,24560.0,0.673134328358209,0.0149772085956154,0.28228831725616305,9214.0,0.0006511829824180589,0.0032559149120903,0.23496852615584998,18,1,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45007,8.59387850206448,0.152488518913988,274.55979563663203,137200.0,0.15843261307686402,47906.0,0.70180864390855,0.0363682747008852,0.229276416183437,195995.0,0.00925023597540754,0.00162759254062604,0.7983111814076892,172,8,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45009,8.14209332617978,0.259294566253575,37.1154928310265,71400.0,0.611164383561644,32229.0,0.7163408336407231,0.0199315068493151,0.23424739963895802,14600.0,0.00294520547945205,0.005342465753424661,0.361986301369863,13,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45011,8.21118806826033,0.261542100283822,39.346877346878294,79900.0,0.457385178662465,36566.0,0.697213547922171,0.0237289706632062,0.259784075573549,21577.0,0.0014830606664503901,0.00319784956203365,0.508087315196737,27,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45013,8.54689463453816,0.11120507876368599,317.018144846544,288900.0,0.18107063473814397,63110.0,0.7160479839109442,0.111749827546562,0.137278050302944,182658.0,0.012898422187913998,0.00261143776894524,0.752625124549705,270,12,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45015,7.81052631915761,0.12156193633305698,189.437896101877,174000.0,0.238361275201492,59995.0,0.717460063258198,0.0645971348623634,0.19848233490818898,209065.0,0.0229545835027384,0.0045201253198765895,0.670815296678067,188,14,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45017,7.850469210914951,0.18410678470157002,38.6013924782235,104000.0,0.41385169577924297,44534.0,0.80999836628002,0.036702236117719,0.21414055884843397,14713.0,0.0,0.00543736831373615,0.553863929857949,7,1,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45019,8.5073929673172,0.14709239009790803,430.003104036703,295600.0,0.273085420108029,61028.0,0.611431346736366,0.0505284919484784,0.163948584751956,394708.0,0.0142409072022862,0.00170759143468083,0.682382926112468,463,8,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45021,8.30371188165155,0.20456335003579101,144.179919052335,95300.0,0.20041967166863603,35836.0,0.691110783880626,0.0421787660242281,0.278934892177395,56711.0,0.00615400892243127,0.0018162261289696897,0.752816913826242,18,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45023,7.933988301428339,0.211255761803912,55.6714703819742,90500.0,0.36930025366578006,40080.0,0.7529109451537779,0.0195817608117305,0.24390243902439002,32326.0,0.0010827197921178,0.00485677163892842,0.6063540184371711,35,0,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45025,7.98691203274492,0.225374449339207,57.6052801076281,82400.0,0.32346167217104105,40033.0,0.709962730155198,0.0423040152963671,0.301011969837132,46024.0,0.00482357031114201,0.00475838692855901,0.6303233095776121,61,1,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
45027,7.87868389599702,0.234137485383716,56.0448643354935,93800.0,0.48763853367433896,37525.0,0.763487656636903,0.0304553605550166,0.269079840099754,34017.0,0.0006173383896287151,0.000852514919011083,0.49293000558544303,237,24,0,58,55,0,56,33,39,0,1,1,53,39,39,54,53
