Lon,Lat,site
-122.92229,39.0327,87
-117.92391,34.1365,88
-118.22688,34.06659,89
-118.53276,34.19925,90
-118.205,33.90139,91
-118.06995,34.01194,92
-118.1272,34.1326,93
-118.18921,33.82376,94
-118.17533,33.79236,95
-118.20028,33.85944,96
-120.0342,36.95326,97
-122.52,37.97231,98
-123.20655,39.15047,99
-123.35264,39.41174,100
-120.43499,37.2816,101
-120.48099,37.30854,102
-121.73157,36.49577,103
-121.12637,36.20929,104
-121.63718,36.69676,105
-122.29619,38.31094,106
-121.05659,39.23433,107
-120.17129,39.3385,108
-117.93845,33.83062,109
-117.67593,33.63003,110
-121.10065,38.93558,111
-121.26631,38.74573,112
-120.93882,39.9371,113
-120.47069,39.81336,114
-117.08865,33.44787,115
-116.83007,33.94471,116
-116.21537,33.70853,117
-116.54101,33.85275,118
-117.41601,33.99958,119
-117.4933,33.99564,120
-121.36801,38.61378,121
-121.49298,38.55823,122
-121.16446,38.6833,123
-121.4585,38.55633,124
-121.36212,36.8441,125
-117.61722,34.03083,126
-117.49201,34.10002,127
-116.86444,34.26444,128
-117.27411,34.10688,129
-117.05908,32.63123,130
-117.14965,32.70149,131
-116.3652,32.72523,132
-117.12389,32.84547,133
-116.96813,32.81798,134
-116.94422,32.78956,135
-117.09023,33.36259,136
-122.39904,37.76595,137
-121.26852,37.95074,138
-121.24872,37.79323,139
-120.56388,35.02083,140
-120.66986,35.25658,141
-120.5843,35.03331,142
-120.66617,35.49453,143
-122.20337,37.48293,144
-120.43763,34.94915,145
-120.4575,34.63782,146
-119.8284,34.44551,147
-121.57468,36.99957,148
-121.8949,37.3485,149
-121.84978,37.33814,150
-121.98933,36.98392,151
-122.08413,37.06307,152
-122.38201,40.54998,153
-122.63358,41.72689,154
-122.23798,38.10251,155
-122.81829,38.40376,156
-120.99462,37.64158,157
-120.83701,37.48798,158
-121.61855,39.13877,159
-122.25556,40.17093,160
-119.29123,36.33218,161
-118.8705,34.21015,162
-118.80995,34.40427,163
-119.23132,34.44805,164
-118.68376,34.27636,165
-119.14318,34.25238,166
-121.73269,38.66121,167
-104.93836,39.82835,168
-105.01953,39.6044,169
-105.10086,40.16458,170
-105.26338,40.0211,171
-104.98762,39.75118,172
-105.00518,39.77949,173
-105.0153,39.73217,174
-104.9886,39.7861,175
-105.07036,39.53449,176
-104.82856,38.84801,177
-108.02611,39.43806,178
-107.3286,39.5464,179
-107.62863,37.13678,180
-107.87022,37.10258,181
-105.07969,40.57129,182
-108.56117,39.0638,183
-105.98306,39.24028,184
-104.59761,38.2761,185
-108.76139,40.08694,186
-104.70693,40.41488,187
-104.82405,40.20939,188
-73.19472,41.17083,189
-73.44306,41.39917,190
-72.67992,41.77144,191
-72.63167,41.78472,192
-73.29726,41.82134,193
-72.90287,41.3014,194
-73.04361,41.55056,195
-72.07882,41.35362,196
-75.5568,38.98667,197
-75.51806,39.155,198
-75.49194,39.76111,199
-75.732,39.5513,200
-75.6036,39.57768,201
-75.7613,39.69196,202
-75.55806,39.73944,203
-75.6106,38.6539,204
-77.03406,38.87626,205
-77.01318,38.92185,206
-76.95343,38.89477,207
-82.38778,29.70611,208
-80.62861,28.05361,209
-80.25694,26.05389,210
-80.16982,26.13268,211
-80.09647,26.29202,212
-80.17639,26.29417,213
-82.64438,28.98056,214
-81.6354,30.35634,215
-81.63398,30.1358,216
-81.54778,30.35472,217
-81.60683,30.26278,218
-87.20355,30.52537,219
-82.46714,27.95555,220
-82.2304,27.96565,221
-81.87791,26.60202,222
-84.34639,30.43972,223
-80.32639,25.94194,224
-80.21556,25.79422,225
-80.48278,25.47194,226
-81.3625,28.59639,227
-80.09278,26.45694,228
-82.73987,27.78587,229
-82.78215,27.98628,230
-81.97222,28.02889,231
-82.50722,27.29056,232
-81.31056,28.74611,233
-81.0525,29.20667,234
-83.6411,32.77746,235
-83.54352,32.80541,236
-81.16185,32.11076,237
-83.34449,33.91807,238
-84.39103,33.60987,239
-84.60741,34.01548,240
-84.29048,33.68797,241
-84.10019,31.57692,242
-85.32333,34.26054,243
-84.43558,33.80233,244
-84.39142,33.77831,245
-81.49588,31.16973,246
-84.06901,33.96127,247
-83.81217,34.30008,248
-83.59791,32.6056,249
